county_geoid,uglg_geoid,uglg_type,f_inC
12099,1207300,place,1.0
12101,1248500,place,1.0
12103,1263000,place,1.0
12103,1239425,place,1.0
12103,1256975,place,1.0
12103,1212875,place,1.0
12103,1205150,place,1.0
12103,1259725,place,1.0
12105,1238250,place,1.0
12105,1257950,place,1.0
12115,1241150,place,0.640125
12115,1264175,place,1.0
12117,1263650,place,1.0
12109,1243250,place,0.142857
12109,1262500,place,1.0
12127,1222550,place,0.026736
12127,1216525,place,1.0
12127,1258575,place,1.0
12127,1258200,place,1.0
12127,1219825,place,1.0
12127,1250450,place,1.0
12127,1256425,place,1.0
13057,1353172,place,0.029661
13063,1317776,place,0.058406
13089,1304000,place,0.065725
13089,1310944,place,1.0
13121,1304000,place,0.934275
13121,1372122,place,1.0
13121,1368516,place,1.0
13121,1315552,place,1.0
13121,1367284,place,1.0
13121,1342425,place,1.0
13121,1351670,place,1.0
13135,1310076,place,0.194091
13135,1304140,place,0.024898
17031,1714000,place,1.0
17031,1719642,place,1.0
17031,1718992,place,0.084591
17031,1709447,place,0.353769
17031,1751089,place,1.0
17031,1702154,place,1.0
17031,1757225,place,1.0
17031,1735411,place,1.0
17031,1719083,place,0.006198
17031,1768003,place,1.0
17031,1732746,place,0.511104
17031,1723074,place,0.206263
17031,1704013,place,0.421288
17031,1765806,place,0.167959
17031,1750647,place,1.0
17031,1770122,place,1.0
17031,1724582,place,1.0
17031,1754885,place,1.0
17031,1714351,place,1.0
17031,1705573,place,1.0
17031,1723620,place,0.000169
17031,1735307,place,0.129043
17031,1709980,place,0.401997
17031,1704572,place,1.0
17031,1776935,place,0.062812
17043,1742795,place,0.00014
17043,1766703,place,0.018567
17043,1703012,place,0.300904
17043,1751622,place,0.69274
17043,1707133,place,0.020227
17089,1703883,place,0.01457
17089,1723074,place,0.793737
17089,1704013,place,0.003049
17089,1746604,place,0.57265
17089,1779397,place,0.378738
17089,1703012,place,0.609224
17089,1700685,place,0.261407
17089,1736750,place,0.323192
17089,1732525,place,1.0
17089,1750218,place,0.440202
17097,1703844,place,0.459105
17097,1703883,place,0.147682
17097,1779293,place,1.0
17097,1741326,place,0.656414
17097,1737894,place,0.428617
17097,1727533,place,0.078442
17119,1724933,place,0.014323
17111,1703883,place,0.317881
17111,1727442,place,0.043292
17111,1761216,place,0.694915
17163,1745993,place,0.000617
17163,1715599,place,0.102588
17163,1715833,place,0.012698
17197,1756640,place,0.002875
17197,1775484,place,0.103406
17197,1757732,place,0.138757
17197,1772520,place,0.606011
17197,1703012,place,0.05589
17197,1751622,place,0.30726
17197,1783245,place,0.000867
17197,1719837,place,0.004669
18057,1802602,place,1.0
18089,1827000,place,1.0
18089,1831000,place,1.0
18089,1819486,place,1.0
19153,1972345,place,0.447761
19153,1932160,place,0.233702
19153,1983910,place,0.619015
19153,1952950,place,0.987517
19153,1921000,place,0.999207
19153,1910765,place,0.015778
20091,2053775,place,1.0
20091,2064500,place,1.0
22051,2239475,place,1.0
23005,2300560545,cousub,1.0
23005,2300508430,cousub,1.0
24003,2401600,place,1.0
24003,2438500,place,1.0
24025,2437600,place,1.0
24031,2416730,place,1.0
24031,2450965,place,1.0
24031,2416787,place,1.0
24033,2445900,place,1.0
24033,2408775,place,1.0
24033,2424200,place,1.0
26081,2608134000,cousub,1.0
26081,2608188940,cousub,1.0
26099,2609952960,cousub,1.0
26099,2609976460,cousub,1.0
26099,2609916520,cousub,1.0
26099,2609970760,cousub,1.0
26099,2609982453,cousub,1.0
26099,2609969800,cousub,1.0
26099,2609984000,cousub,1.0
26125,2612527760,cousub,1.0
26125,2612574900,cousub,1.0
26125,2612527440,cousub,1.0
26125,2612570040,cousub,1.0
26161,2616153920,cousub,1.0
26161,2616149120,cousub,1.0
26161,2616172760,cousub,1.0
26161,2616130520,cousub,1.0
26161,2616149780,cousub,1.0
26163,2616322000,cousub,1.0
26163,2616367625,cousub,1.0
26163,2616349000,cousub,1.0
26163,2616313120,cousub,1.0
26163,2616386000,cousub,1.0
26163,2616321020,cousub,1.0
26163,2616321000,cousub,1.0
26163,2616347800,cousub,1.0
26163,2616379000,cousub,1.0
27053,2705343000,cousub,1.0
27053,2705306616,cousub,1.0
27053,2705318116,cousub,1.0
27123,2712358000,cousub,1.0
27123,2712361996,cousub,1.0
27123,2712356680,cousub,1.0
27137,2713717000,cousub,1.0
27137,2713709482,cousub,1.0
27163,2716325334,cousub,1.0
27163,2716369970,cousub,1.0
27163,2716371428,cousub,1.0
27163,2716327530,cousub,1.0
29099,2922834,place,0.097448
29189,2955910,place,0.002645
29189,2924778,place,1.0
29183,2978514,place,1.0
29183,2924688,place,1.0
29183,2925120,place,0.765328
34001,3400102080,cousub,1.0
34001,3400120350,cousub,1.0
34001,3400129430,cousub,1.0
34005,3400555800,cousub,1.0
34005,3400505740,cousub,1.0
34005,3400557510,cousub,1.0
34005,3400557480,cousub,1.0
34005,3400582960,cousub,1.0
34007,3400710000,cousub,1.0
34007,3400712280,cousub,1.0
34007,3400726820,cousub,1.0
34007,3400772240,cousub,1.0
34007,3400726760,cousub,1.0
34013,3401351000,cousub,1.0
34013,3401319390,cousub,1.0
34013,3401334450,cousub,1.0
34013,3401306260,cousub,1.0
34017,3401736000,cousub,1.0
34017,3401703580,cousub,1.0
34017,3401752470,cousub,1.0
34017,3401774630,cousub,1.0
34017,3401732250,cousub,1.0
34023,3402359010,cousub,1.0
34023,3402320230,cousub,1.0
34023,3402382000,cousub,1.0
34023,3402358200,cousub,1.0
34023,3402351210,cousub,1.0
34023,3402365790,cousub,1.0
34023,3402354705,cousub,1.0
34025,3402545990,cousub,1.0
34025,3402536480,cousub,1.0
34025,3402541310,cousub,1.0
34025,3402501960,cousub,1.0
34027,3402756460,cousub,1.0
34027,3402718070,cousub,1.0
34029,3402907420,cousub,1.0
34029,3402938550,cousub,1.0
34029,3402973125,cousub,1.0
34031,3403113690,cousub,1.0
34031,3403156550,cousub,1.0
34031,3403157000,cousub,1.0
34031,3403177840,cousub,1.0
34035,3403524900,cousub,1.0
34039,3403921000,cousub,1.0
34039,3403974480,cousub,1.0
36027,3602759641,cousub,1.0
36029,3602911000,cousub,1.0
36029,3602975000,cousub,1.0
36029,3602902000,cousub,1.0
36029,3602915011,cousub,1.0
36029,3602931654,cousub,1.0
36055,3605563000,cousub,1.0
36055,3605537726,cousub,1.0
36055,3605530290,cousub,1.0
36059,3605953000,cousub,1.0
36067,3606773000,cousub,1.0
36071,3607150034,cousub,1.0
36071,3607147042,cousub,1.0
36071,3607159388,cousub,1.0
36071,3607156185,cousub,1.0
36103,3610337000,cousub,1.0
36103,3610304000,cousub,1.0
36103,3610368000,cousub,1.0
36103,3610338000,cousub,1.0
36103,3610310000,cousub,1.0
36103,3610322194,cousub,1.0
36119,3611984000,cousub,1.0
36119,3611949121,cousub,1.0
36119,3611921820,cousub,1.0
36119,3611957012,cousub,1.0
36119,3611950617,cousub,1.0
36119,3611964309,cousub,1.0
36119,3611932413,cousub,1.0
36119,3611981677,cousub,1.0
36119,3611949011,cousub,1.0
36119,3611951693,cousub,1.0
36119,3611959685,cousub,1.0
36119,3611968308,cousub,1.0
37051,3722920,place,1.0
37119,3712000,place,1.0
37119,3764420,place,0.024758
37119,3771680,place,0.000426
37179,3741720,place,1.0
37183,3710740,place,0.969803
37183,3719000,place,0.002246
37183,3755000,place,0.996333
37183,3701400,place,0.118276
39017,3971892,place,0.176011
39017,3949840,place,0.909483
39025,3945108,place,0.212553
39025,3904150,place,1.0
39035,3916000,place,1.0
39035,3908364,place,1.0
39035,3916014,place,1.0
39035,3923380,place,1.0
39035,3925704,place,1.0
39035,3941664,place,1.0
39035,3961000,place,1.0
39035,3936918,place,0.810651
39049,3918000,place,0.972842
39049,3962498,place,0.00249
39049,3944086,place,0.018661
39061,3950176,place,0.003657
39061,3915000,place,1.0
39061,3976582,place,1.0
39061,3976428,place,1.0
39085,3949056,place,1.0
39085,3940670,place,1.0
39113,3940040,place,0.99
39113,3921000,place,1.0
39113,3974076,place,0.057803
39151,3901420,place,0.997507
39151,3912000,place,1.0
39151,3948244,place,1.0
39165,3951310,place,0.008743
39165,3949840,place,0.090517
39165,3945108,place,0.036104
39165,3912168,place,0.9538
40143,4046200,place,0.013441
40143,4042860,place,0.581081
40143,4075000,place,0.986161
41005,4159000,place,0.000918
41005,4174950,place,0.110268
41047,4164900,place,0.845717
41051,4159000,place,0.996605
41051,4140550,place,0.07609
41051,4131250,place,1.0
41067,4159000,place,0.002478
41067,4140550,place,5.3e-05
41067,4162250,place,0.07619
41067,4182800,place,0.028626
41067,4105350,place,1.0
41067,4134100,place,1.0
42003,4200377272,cousub,1.0
42003,4200346072,cousub,1.0
42007,4200718200,cousub,1.0
42007,4200723304,cousub,1.0
42011,4201100364,cousub,1.0
42017,4201705616,cousub,1.0
42017,4201708768,cousub,1.0
42041,4204111272,cousub,1.0
42043,4204332800,cousub,1.0
42045,4204579000,cousub,1.0
42045,4204513208,cousub,1.0
42045,4204533144,cousub,1.0
42077,4207702000,cousub,1.0
42077,4207744992,cousub,1.0
42077,4207706088,cousub,1.0
42079,4207985152,cousub,1.0
42079,4207961048,cousub,1.0
42079,4207952584,cousub,1.0
42079,4207933408,cousub,1.0
42091,4209100156,cousub,1.0
42091,4209115848,cousub,1.0
42091,4209144976,cousub,1.0
42095,4209506088,cousub,1.0
42129,4212903088,cousub,1.0
42129,4212953736,cousub,1.0
42129,4212937784,cousub,1.0
42129,4212950344,cousub,1.0
42129,4212968432,cousub,1.0
42133,4213387048,cousub,1.0
45015,4513330,place,0.106308
45015,4570270,place,0.126459
45019,4513330,place,0.893692
45019,4570270,place,0.034108
45019,4526035,place,1.0
45019,4538162,place,1.0
45019,4564712,place,1.0
45019,4561495,place,1.0
45051,4551280,place,1.0
45051,4503205,place,1.0
45051,4508830,place,1.0
45051,4570585,place,1.0
45063,4516000,place,0.004827
45079,4507255,place,0.981846
