geoid,name,state,type,geoid_type,cdbg_fy25
2642160,Kalamazoo,MI,Principal City,place,1583632
26081,Kent County,MI,Urban County,county,1673365
2646000,Lansing,MI,Principal City,place,1982088
2647800,Lincoln Park,MI,Metro City,place,778236
2649000,Livonia,MI,Principal City,place,343617
26099,Macomb County,MI,Urban County,county,1913886
2653780,Midland,MI,Principal City,place,203789
2655020,Monroe,MI,Principal City,place,448407
2656320,Muskegon,MI,Principal City,place,919565
2656360,Muskegon Hts,MI,Metro City,place,424739
2657760,Niles,MI,Principal City,place,270102
2659140,Norton Shores,MI,Metro City,place,111638
26125,Oakland County,MI,Urban County,county,3735142
2665440,Pontiac,MI,Principal City,place,1436727
2665820,Port Huron,MI,Metro City,place,702976
2665560,Portage,MI,Principal City,place,209148
2616367625,Redford,MI,Metro City,cousub,848170
2669800,Roseville,MI,Metro City,place,560982
2670040,Royal Oak,MI,Metro City,place,1154181
2670520,Saginaw,MI,Principal City,place,1986926
2674900,Southfield,MI,Principal City,place,409397
2670760,St Clair Shores,MI,Metro City,place,859034
2676460,Sterling Heights,MI,Metro City,place,802997
2679000,Taylor,MI,Principal City,place,463413
2680340,Traverse,MI,Principal City,place,367861
2684000,Warren,MI,Principal City,place,974298
26161,Washtenaw County,MI,Urban County,county,2248182
2612584240,Waterford Township,MI,Metro City,cousub,362163
26163,Wayne County,MI,Urban County,county,5492534
2686000,Westland,MI,Metro City,place,1033365
2688940,Wyoming,MI,Principal City,place,477892
27003,Anoka County,MN,Urban County,county,1666016
2706616,Bloomington,MN,Principal City,place,465137
27037,Dakota County,MN,Urban County,county,1893442
2717000,Duluth,MN,Principal City,place,2341913
2718116,Eden Prairie,MN,Principal City,place,279604
27053,Hennepin County,MN,Urban County,county,2993886
2739878,Mankato,MN,Principal City,place,435932
2743000,Minneapolis,MN,Principal City,place,10988006
2743864,Moorhead,MN,Metro City,place,356693
2751730,Plymouth,MN,Principal City,place,255820
27123,Ramsey County,MN,Urban County,county,1215422
2754880,Rochester,MN,Principal City,place,676343
2756896,St Cloud,MN,Principal City,place,687307
27137,St Louis County,MN,Urban County,county,1909180
2758000,St Paul,MN,Principal City,place,6756518
27163,Washington County,MN,Urban County,county,697198
2771428,Woodbury,MN,Metro City,place,266417
2806220,Biloxi,MS,Principal City,place,409375
2829700,Gulfport,MS,Principal City,place,776285
2831020,Hattiesburg,MS,Principal City,place,569656
2836000,Jackson,MS,Principal City,place,1787635
2849240,Moss Point,MS,Metro City,place,97999
2855360,Pascagoula,MS,Principal City,place,261473
2906652,Blue Springs,MO,Metro City,place,265704
2911242,Cape Girardeau,MO,Principal City,place,326728
2915670,Columbia,MO,Principal City,place,1065222
2924778,Florissant,MO,Metro City,place,264212
2935000,Independence,MO,Metro City,place,911277
2937000,Jefferson,MO,Principal City,place,264411
29099,Jefferson County,MO,Urban County,county,1062194
2937592,Joplin City,MO,Principal City,place,515502
2938000,Kansas,MO,Principal City,place,7608758
2941348,Lees Summit,MO,Metro City,place,385005
2954074,O'Fallon,MO,Metro City,place,338193
2970000,Springfield,MO,Principal City,place,1489039
2964550,St Joseph,MO,Principal City,place,1461592
2965000,St Louis,MO,Principal City,place,17660570
29189,St Louis County,MO,Urban County,county,5806360
29183,St. Charles County,MO,Urban County,county,1065633
3006550,Billings,MT,Principal City,place,674856
3008950,Bozeman,MT,Principal City,place,347790
3032800,Great Falls,MT,Principal City,place,761417
3050200,Missoula,MT,Principal City,place,520234
3103950,Bellevue,NE,Metro City,place,315457
3119595,Grand Island,NE,Principal City,place,348081
3128000,Lincoln,NE,Principal City,place,1878880
3137000,Omaha,NE,Principal City,place,4254206
3209700,Carson,NV,Principal City,place,402733
32003,Clark County,NV,Urban County,county,8550959
3231900,Henderson,NV,Principal City,place,1687463
3240000,Las Vegas,NV,Principal City,place,5341723
3251800,North Las Vegas,NV,Metro City,place,1959935
3260600,Reno,NV,Principal City,place,2002682
3268400,Sparks,NV,Metro City,place,739006
3318820,Dover,NH,Metro City,place,328545
3345140,Manchester,NH,Principal City,place,1570991
3350260,Nashua,NH,Principal City,place,652953
3362900,Portsmouth,NH,Metro City,place,522653
3365140,Rochester,NH,Metro City,place,257705
3401960,Asbury Park,NJ,Metro City,place,392066
3402080,Atlantic,NJ,Principal City,place,1305980
34001,Atlantic County,NJ,Urban County,county,1184270
3403580,Bayonne,NJ,Metro City,place,1364019
34003,Bergen County,NJ,Urban County,county,8974151
3401306260,Bloomfield,NJ,Metro City,cousub,974904
3402907420,Brick Township,NJ,Metro City,cousub,290827
3407600,Bridgeton,NJ,Principal City,place,331652
34005,Burlington County,NJ,Urban County,county,1594333
3410000,Camden,NJ,Principal City,place,2380231
34007,Camden County,NJ,Urban County,county,2577208
3400712280,Cherry Hill,NJ,Metro City,cousub,407498
3413690,Clifton,NJ,Metro City,place,1261206
3419390,East Orange,NJ,Metro City,place,1405027
3402320230,Edison,NJ,Metro City,cousub,671667
3421000,Elizabeth,NJ,Metro City,place,1679231
34013,Essex County,NJ,Urban County,county,5216482
3402122185,Ewing Township,NJ,Metro City,cousub,278056
3424930,Franklin Township,NJ,Metro City,place,348012
34015,Gloucester County,NJ,Urban County,county,1400984
3426820,Gloucester Twp,NJ,Metro City,place,312318
3402129310,Hamilton,NJ,Metro City,cousub,603600
3432250,Hoboken,NJ,Metro City,place,1053789
34017,Hudson County,NJ,Urban County,county,2052540
3401334450,Irvington,NJ,Metro City,cousub,1098955
3436000,Jersey,NJ,Principal City,place,4321335
3438580,Lakewood Township,NJ,Metro City,place,1660999
3441310,Long Branch,NJ,Metro City,place,430460
34023,Middlesex County,NJ,Urban County,county,1778781
3402545990,Middletown,NJ,Metro City,cousub,262196
3446680,Millville,NJ,Metro City,place,279713
34025,Monmouth County,NJ,Urban County,county,2528455
34027,Morris County,NJ,Urban County,county,1853121
3451210,New Brunswick,NJ,Principal City,place,815209
3451000,Newark,NJ,Principal City,place,6743865
3401752470,North Bergen Township,NJ,Metro City,cousub,741207
3454360,Ocean,NJ,Principal City,place,269952
34029,Ocean County,NJ,Urban County,county,1369138
3454690,Old Bridge Township,NJ,Metro City,place,360622
3402756460,Parsippany-Troyhills Twp,NJ,Metro City,cousub,247701
3456550,Passaic,NJ,Metro City,place,1276682
34031,Passaic County,NJ,Urban County,county,996962
3457000,Paterson,NJ,Metro City,place,2644414
3458200,Perth Amboy,NJ,Metro City,place,687972
3402359010,Piscataway Township,NJ,Metro City,cousub,278453
3460900,Princeton,NJ,Metro City,place,185428
3465790,Sayreville,NJ,Metro City,place,227914
34035,Somerset County,NJ,Urban County,county,1157043
3473110,Toms River Township,NJ,Metro City,place,405264
3474000,Trenton,NJ,Principal City,place,2527173
3474630,Union,NJ,Metro City,place,1090426
34039,Union County,NJ,Urban County,county,4410172
3403974480,Union Township,NJ,Metro City,cousub,611899
3476070,Vineland,NJ,Principal City,place,431508
3403177840,Wayne Township,NJ,Metro City,cousub,170556
3481950,Woodbridge,NJ,Metro City,place,636236
3502000,Albuquerque,NM,Principal City,place,4395720
3525800,Farmington,NM,Principal City,place,461761
3539380,Las Cruces,NM,Principal City,place,1163202
3563460,Rio Rancho,NM,Metro City,place,493138
3570500,Santa Fe,NM,Principal City,place,633475
3601000,Albany,NY,Principal City,place,3043143
3602902000,Amherst,NY,Metro City,cousub,625669
3603078,Auburn,NY,Metro City,place,813992
3603408,Babylon Town,NY,Metro City,place,1118673
3606607,Binghamton,NY,Principal City,place,1790607
3609000,Brookhaven Town,NY,Metro City,place,2169136
3611000,Buffalo,NY,Principal City,place,13103636
3615000,Cheektowaga Town,NY,Principal City,place,956973
3617332,Colonie Town,NY,Metro City,place,369706
3621105,Dunkirk,NY,Metro City,place,433336
36027,Dutchess County,NY,Urban County,county,1497550
3624229,Elmira,NY,Principal City,place,1095403
36029,Erie County,NY,Urban County,county,2994630
3629333,Glen Falls,NY,Principal City,place,469459
3630279,Greece,NY,Metro City,place,554086
3631643,Hamburg Town,NY,Metro City,place,445160
3636233,Huntington Town,NY,Metro City,place,821950
3637737,Irondequoit,NY,Metro City,place,899321
3637869,Islip Town,NY,Metro City,place,1758897
3638077,Ithaca,NY,Principal City,place,680918
3638264,Jamestown,NY,Metro City,place,1105265
3639727,Kingston,NY,Principal City,place,712928
3639853,Kiryas Joel village,NY,Principal City,place,750045
3647042,Middletown,NY,Metro City,place,426960
36055,Monroe County,NY,Urban County,county,1842072
3649121,Mount Vernon,NY,Metro City,place,1548930
36059,Nassau County,NY,Urban County,county,13259692
3650617,New Rochelle,NY,Metro City,place,1385726
3651000,New York,NY,Principal City,place,170159554
3650034,Newburgh,NY,Metro City,place,808151
3651055,Niagara Falls,NY,Principal City,place,2150047
36067,Onondaga County,NY,Urban County,county,2272403
36071,Orange County,NY,Urban County,county,1645340
3659641,Poughkeepsie,NY,Metro City,place,840397
3663000,Rochester,NY,Principal City,place,8068072
36087,Rockland County,NY,Urban County,county,2691786
3663418,Rome,NY,Principal City,place,945127
3665255,Saratoga Springs,NY,Metro City,place,323737
3665508,Schenectady,NY,Principal City,place,2050241
36103,Suffolk County,NY,Urban County,county,1297836
3673000,Syracuse,NY,Principal City,place,4795536
3674166,Tonawanda Town,NY,Metro City,place,1592983
3675484,Troy,NY,Principal City,place,1725397
3600776056,Union Town,NY,Metro City,cousub,1253674
3676540,Utica,NY,Principal City,place,2320311
3678608,Watertown,NY,Principal City,place,860088
36119,Westchester County,NY,Urban County,county,4646543
3681677,White Plains,NY,Principal City,place,892382
3684000,Yonkers,NY,Metro City,place,3248745
3702140,Asheville,NC,Principal City,place,972202
3709060,Burlington,NC,Principal City,place,481204
3710740,Cary,NC,Metro City,place,734151
3711800,Chapel Hill,NC,Principal City,place,415188
3712000,Charlotte,NC,Principal City,place,5741754
3714100,Concord,NC,Principal City,place,560220
37051,Cumberland County,NC,Urban County,county,909877
3719000,Durham,NC,Principal City,place,1936725
3722920,Fayetteville,NC,Principal City,place,1748202
3725580,Gastonia,NC,Principal City,place,567471
3726880,Goldsboro,NC,Principal City,place,337814
3728000,Greensboro,NC,Principal City,place,2489554
3728080,Greenville,NC,Principal City,place,855949
3731060,Hickory,NC,Principal City,place,331589
3731400,High Point,NC,Principal City,place,841549
3734200,Jacksonville,NC,Principal City,place,422910
3735200,Kannapolis,NC,Metro City,place,380894
3737760,Lenoir,NC,Principal City,place,136612
37119,Mecklenburg County,NC,Urban County,county,1022878
3744220,Mooresville,NC,Metro City,place,234527
3744400,Morganton,NC,Principal City,place,212470
3746340,New Bern,NC,Principal City,place,260903
3755000,Raleigh,NC,Principal City,place,2851817
3757500,Rocky Mount,NC,Principal City,place,501884
3758860,Salisbury,NC,Metro City,place,342969
37179,Union County,NC,Urban County,county,801607
37183,Wake County,NC,Urban County,county,2178737
3774440,Wilmington,NC,Principal City,place,871503
3775000,Winston-Salem,NC,Principal City,place,2029462
3807200,Bismarck,ND,Principal City,place,389924
3825700,Fargo,ND,Principal City,place,874861
3832060,Grand Forks,ND,Principal City,place,441773
3853380,Minot,ND,Principal City,place,315990
3901000,Akron,OH,Principal City,place,5830829
3901420,Alliance,OH,Metro City,place,619064
3903828,Barberton,OH,Metro City,place,661601
3907972,Bowling Green,OH,Metro City,place,284964
39017,Butler County,OH,Urban County,county,1318153
3912000,Canton,OH,Principal City,place,2536505
3915000,Cincinnati,OH,Principal City,place,11063082
39025,Clermont County,OH,Urban County,county,1002763
3916000,Cleveland,OH,Principal City,place,19463970
3916014,Cleveland Heights,OH,Metro City,place,1566683
3918000,Columbus,OH,Principal City,place,7527430
39035,Cuyahoga County,OH,Urban County,county,4227608
3919778,Cuyahoga Falls,OH,Metro City,place,669676
3921000,Dayton,OH,Principal City,place,5277784
39041,Delaware County,OH,Urban County,county,407782
3923380,East Cleveland,OH,Metro City,place,937765
3925256,Elyria,OH,Principal City,place,728601
3925704,Euclid,OH,Metro City,place,998865
3925914,Fairborn,OH,Metro City,place,265003
39049,Franklin County,OH,Urban County,county,2026554
3933012,Hamilton,OH,Metro City,place,1279648
39061,Hamilton County,OH,Urban County,county,3798710
3939872,Kent,OH,Metro City,place,264952
3940040,Kettering,OH,Metro City,place,509132
39085,Lake County,OH,Urban County,county,1352458
3941664,Lakewood,OH,Metro City,place,1889388
3941720,Lancaster,OH,Metro City,place,489000
3943554,Lima,OH,Principal City,place,1009995
3944856,Lorain,OH,Metro City,place,1303710
3947138,Mansfield,OH,Principal City,place,858204
3947628,Marietta,OH,Metro City,place,369588
3948244,Massillon,OH,Principal City,place,646321
3949056,Mentor,OH,Metro City,place,160804
3949840,Middletown,OH,Metro City,place,695797
39113,Montgomery County,OH,Urban County,county,2021803
3954040,Newark,OH,Metro City,place,745133
3961000,Parma,OH,Metro City,place,949665
3970380,Sandusky,OH,Metro City,place,699040
3974118,Springfield,OH,Principal City,place,1740154
39151,Stark County,OH,Urban County,county,1396925
3974608,Steubenville,OH,Principal City,place,594903
39153,Summit County,OH,Urban County,county,915818
3977000,Toledo,OH,Principal City,place,7046960
3980892,Warren,OH,Principal City,place,1146337
39165,Warren County,OH,Urban County,county,872108
3988000,Youngstown,OH,Principal City,place,3266480
4023200,Edmond,OK,Metro City,place,499591
4023950,Enid,OK,Metro City,place,480118
4041850,Lawton,OK,Principal City,place,738579
4048350,Midwest,OK,Metro City,place,412315
4049200,Moore,OK,Metro City,place,354545
4052500,Norman,OK,Metro City,place,984443
4055000,Oklahoma,OK,Principal City,place,5130024
4066800,Shawnee,OK,Metro City,place,337126
4075000,Tulsa,OK,Principal City,place,3509486
40143,Tulsa County,OK,Urban County,county,1564805
4101000,Albany,OR,Principal City,place,373063
4103050,Ashland,OR,Metro City,place,173259
4105350,Beaverton,OR,Principal City,place,679728
4105800,Bend,OR,Principal City,place,583169
41005,Clackamas County,OR,Urban County,county,2132803
4115800,Corvallis,OR,Principal City,place,581812
4123850,Eugene,OR,Principal City,place,1483454
4130550,Grants Pass,OR,Principal City,place,351555
4131250,Gresham,OR,Metro City,place,943169
4134100,Hillsboro,OR,Principal City,place,681847
41047,Marion County,OR,Urban County,county,1420109
4147000,Medford,OR,Principal City,place,615563
41051,Multnomah County,OR,Urban County,county,333210
4159000,Portland,OR,Principal City,place,8345073
4161200,Redmond,OR,Principal City,place,219123
4164900,Salem,OR,Principal City,place,1469203
4169600,Springfield,OR,Metro City,place,554348
41067,Washington County,OR,Urban County,county,2013429
4209100156,Abington,PA,Metro City,cousub,715339
42003,Allegheny County,PA,Urban County,county,13140833
4202000,Allentown,PA,Principal City,place,2401678
4202184,Altoona,PA,Principal City,place,1536368
42007,Beaver County,PA,Urban County,county,3190637
4201705616,Bensalem Township,PA,Metro City,cousub,426178
42011,Berks County,PA,Urban County,county,2240548
4205888,Berwick Borough,PA,Principal City,place,277447
4206088,Bethlehem,PA,Principal City,place,1418306
4207128,Bloomsburg,PA,Principal City,place,204315
4208760,Bristol Township,PA,Metro City,place,626184
42017,Bucks County,PA,Urban County,county,2095451
4211272,Carlisle,PA,Principal City,place,341040
4212536,Chambersburg,PA,Principal City,place,291250
4213208,Chester,PA,Metro City,place,1234711
42029,Chester County,PA,Urban County,county,2477719
42041,Cumberland County,PA,Urban County,county,1260456
42043,Dauphin County,PA,Urban County,county,1406426
42045,Delaware County,PA,Urban County,county,3604201
4224000,Erie,PA,Principal City,place,2775245
4232800,Harrisburg,PA,Principal City,place,1806820
4204533144,Haverford,PA,Metro City,cousub,803312
4233408,Hazleton,PA,Principal City,place,658424
4238288,Johnstown,PA,Principal City,place,1166725
4241216,Lancaster,PA,Principal City,place,1413647
42071,Lancaster County,PA,Urban County,county,2820083
4242168,Lebanon,PA,Principal City,place,695929
42077,Lehigh County,PA,Urban County,county,1274277
4209144976,Lower Merion,PA,Metro City,cousub,966616
4204345056,Lower Paxton Township,PA,Metro City,cousub,261844
42079,Luzerne County,PA,Urban County,county,3941081
4246256,Mckeesport,PA,Metro City,place,945414
4249552,Millcreek Township,PA,Metro City,place,234533
42091,Montgomery County,PA,Urban County,county,3373117
4254656,Norristown,PA,Metro City,place,736318
42095,Northampton County,PA,Urban County,county,2250595
4200359032,Penn Hills,PA,Metro City,cousub,707778
4260000,Philadelphia,PA,Principal City,place,44267048
4261000,Pittsburgh,PA,Principal City,place,12852093
4263624,Reading,PA,Principal City,place,2462848
4269000,Scranton,PA,Principal City,place,2619353
4269720,Sharon,PA,Metro City,place,539294
4273808,State College,PA,Principal City,place,477508
4204579000,Upper Darby,PA,Metro City,cousub,1685303
42125,Washington County,PA,Urban County,county,3425458
42129,Westmoreland Co,PA,Urban County,county,3962299
4285152,Wilkes-Barre,PA,Principal City,place,1400226
4285312,Williamsport,PA,Principal City,place,1002670
4287048,York,PA,Principal City,place,1347184
42133,York County,PA,Urban County,county,2263829
4419180,Cranston,RI,Metro City,place,1085975
4422960,East Providence,RI,Metro City,place,772761
4454640,Pawtucket,RI,Metro City,place,1776064
4459000,Providence,RI,Principal City,place,5227138
4474300,Warwick,RI,Principal City,place,948131
4480780,Woonsocket,RI,Metro City,place,1050583
4500550,Aiken,SC,Metro City,place,207674
4501360,Anderson,SC,Principal City,place,555496
45015,Berkeley County,SC,Urban County,county,1264084
4513330,Charleston,SC,Principal City,place,934538
45019,Charleston County,SC,Urban County,county,1761701
4516000,Columbia,SC,Principal City,place,1137467
4525810,Florence,SC,Principal City,place,344189
4530850,Greenville,SC,Principal City,place,678608
45045,Greenville County,SC,Urban County,county,2849153
4534045,Hilton Head Island,SC,Principal City,place,210564
45051,Horry County,SC,Urban County,county,1892350
45063,Lexington County,SC,Urban County,county,1850758
45079,Richland County,SC,Urban County,county,1755995
4561405,Rock Hill,SC,Principal City,place,478911
4568290,Spartanburg,SC,Principal City,place,637479
45083,Spartanburg County,SC,Urban County,county,1661440
4570270,Summerville,SC,Metro City,place,286717
4570405,Sumter,SC,Principal City,place,333755
4652980,Rapid,SD,Principal City,place,491823
4659020,Sioux Falls,SD,Principal City,place,1096917
4708540,Bristol,TN,Principal City,place,213209
4714000,Chattanooga,TN,Principal City,place,1541191
4715160,Clarksville,TN,Principal City,place,1149342
4715400,Cleveland,TN,Principal City,place,360274
4727740,Franklin,TN,Principal City,place,364925
4728540,Gallatin,TN,Metro City,place,330736
4737640,Jackson,TN,Principal City,place,616212
4738320,Johnson,TN,Principal City,place,620977
4739560,Kingsport,TN,Principal City,place,457885
47093,Knox County,TN,Urban County,county,1164604
4740000,Knoxville,TN,Principal City,place,1636277
4748000,Memphis,TN,Principal City,place,6037192
4750280,Morristown,TN,Principal City,place,337032
4751560,Murfreesboro,TN,Principal City,place,1002524
47037,Nashville-Davidson,TN,Principal City,county,5431624
4755120,Oak Ridge,TN,Metro City,place,211245
47157,Shelby County,TN,Urban County,county,1216018
4769420,Smyrna,TN,Principal City,place,412974
4770580,Spring Hill,TN,Metro City,place,186017
4801000,Abilene,TX,Principal City,place,912242
4801924,Allen,TX,Metro City,place,496598
4803000,Amarillo,TX,Principal City,place,1603518
4804000,Arlington,TX,Principal City,place,3096788
4805000,Austin,TX,Principal City,place,7321442
4806128,Baytown,TX,Principal City,place,793686
4807000,Beaumont,TX,Principal City,place,1352666
48029,Bexar County,TX,Urban County,county,3160136
48039,Brazoria County,TX,Urban County,county,1427334
4810768,Brownsville,TX,Principal City,place,2564396
4810912,Bryan,TX,Principal City,place,919611
4813024,Carrollton,TX,Metro City,place,755813
4815976,College Station,TX,Principal City,place,1229672
4816432,Conroe,TX,Principal City,place,721877
4817000,Corpus Christi,TX,Principal City,place,2646956
4819000,Dallas,TX,Principal City,place,12944689
48113,Dallas County,TX,Urban County,county,2229181
4819900,Denison,TX,Principal City,place,277743
4819972,Denton,TX,Principal City,place,1049336
4820092,Desoto,TX,Metro City,place,271460
4821892,Eagle Pass,TX,Principal City,place,358487
4822660,Edinburg,TX,Principal City,place,1259616
4824000,El Paso,TX,Principal City,place,6441184
4826232,Flower Mound Town,TX,Metro City,place,273152
48157,Fort Bend County,TX,Urban County,county,3663792
4827000,Fort Worth,TX,Principal City,place,7116438
4827684,Frisco,TX,Metro City,place,774444
4828068,Galveston,TX,Metro City,place,1155999
4829000,Garland,TX,Metro City,place,1983303
4830464,Grand Prairie,TX,Metro City,place,1544048
4832372,Harlingen,TX,Principal City,place,952807
48201,Harris County,TX,Urban County,county,15794784
48215,Hidalgo County,TX,Urban County,county,7417209
4835000,Houston,TX,Principal City,place,25534560
4837000,Irving,TX,Principal City,place,2225694
4839148,Killeen,TX,Principal City,place,1350070
4839952,Kyle,TX,Metro City,place,277869
4841464,Laredo,TX,Principal City,place,2859543
4841980,League,TX,Metro City,place,451655
4842508,Lewisville,TX,Metro City,place,847606
4843888,Longview,TX,Principal City,place,654682
4845000,Lubbock,TX,Principal City,place,2215657
4846776,Marshall,TX,Metro City,place,304234
4845384,Mc Allen,TX,Principal City,place,1608590
4845744,McKinney,TX,Metro City,place,907326
4847892,Mesquite,TX,Metro City,place,1047108
4848072,Midland,TX,Principal City,place,973186
4848768,Mission,TX,Principal City,place,992431
4848804,Missouri,TX,Metro City,place,300081
48339,Montgomery County,TX,Urban County,county,2925262
4850820,New Braunfels,TX,Principal City,place,454245
4853388,Odessa,TX,Principal City,place,987543
4854132,Orange,TX,Metro City,place,314115
4856000,Pasadena,TX,Metro City,place,1630927
4856348,Pearland,TX,Metro City,place,537831
4857176,Pflugerville,TX,Metro City,place,347221
4857200,Pharr,TX,Metro City,place,1201828
4858016,Plano,TX,Principal City,place,1616959
4858820,Port Arthur,TX,Principal City,place,1006766
4863500,Round Rock,TX,Principal City,place,672184
4863572,Rowlett,TX,Metro City,place,299525
4864472,San Angelo,TX,Principal City,place,641137
4865000,San Antonio,TX,Principal City,place,13395048
4865036,San Benito,TX,Metro City,place,329615
4865600,San Marcos,TX,Metro City,place,754405
4867496,Sherman,TX,Principal City,place,294784
48439,Tarrant County,TX,Urban County,county,4163451
4872176,Temple,TX,Principal City,place,717139
4872368,Texarkana,TX,Principal City,place,382663
4872392,Texas,TX,Metro City,place,432691
48453,Travis County,TX,Urban County,county,1787382
4874144,Tyler,TX,Principal City,place,743501
4875428,Victoria,TX,Principal City,place,537925
4876000,Waco,TX,Principal City,place,1383840
4879000,Wichita Falls,TX,Principal City,place,1206417
48491,Williamson County,TX,Urban County,county,2200130
4913850,Clearfield,UT,Principal City,place,206865
49011,Davis County,UT,Urban County,county,936639
4920810,Eagle Mountain,UT,Metro City,place,239813
4943660,Layton,UT,Metro City,place,392160
4944320,Lehi,UT,Metro City,place,332739
4945860,Logan,UT,Principal City,place,558464
4955980,Ogden,UT,Principal City,place,1022138
4957300,Orem,UT,Principal City,place,569542
4962470,Provo,UT,Principal City,place,1210634
4967000,Salt Lake,UT,Principal City,place,3250831
49035,Salt Lake County,UT,Urban County,county,2393613
4967440,Sandy,UT,Metro City,place,355402
4970850,South Jordan,UT,Metro City,place,253648
4965330,St George,UT,Principal City,place,625751
4975360,Taylorsville,UT,Metro City,place,352902
49049,Utah County,UT,Urban County,county,1425085
4982950,West Jordan,UT,Metro City,place,491304
4983470,West Valley,UT,Metro City,place,1047855
5010675,Burlington,VT,Principal City,place,745925
5101000,Alexandria,VA,Principal City,place,1068416
51013,Arlington County,VA,Urban County,county,1321685
5107784,Blacksburg,VA,Principal City,place,546821
5109816,Bristol,VA,Principal City,place,273121
5114968,Charlottesville,VA,Principal City,place,445452
5116000,Chesapeake,VA,Metro City,place,1145305
51041,Chesterfield County,VA,Urban County,county,1612176
5116608,Christiansburg,VA,Principal City,place,155108
5118448,Colonial Heights,VA,Metro City,place,96066
5121344,Danville,VA,Metro City,place,868381
51059,Fairfax County,VA,Urban County,county,5768750
5129744,Fredericksburg,VA,Metro City,place,236645
5135000,Hampton,VA,Principal City,place,897498
5135624,Harrisonburg,VA,Principal City,place,512366
51087,Henrico County,VA,Urban County,county,1619559
5138424,Hopewell,VA,Metro City,place,239391
51107,Loudoun County,VA,Urban County,county,1564518
5147672,Lynchburg,VA,Principal City,place,750979
5156000,Newport News,VA,Principal City,place,1304472
5157000,Norfolk,VA,Principal City,place,4381461
5161832,Petersburg,VA,Metro City,place,585812
5164000,Portsmouth,VA,Principal City,place,1545652
51153,Prince William County,VA,Urban County,county,2634741
5165392,Radford,VA,Principal City,place,166346
5167000,Richmond,VA,Principal City,place,4321483
5168000,Roanoke,VA,Principal City,place,1805116
5175216,Staunton,VA,Principal City,place,317797
5176432,Suffolk,VA,Metro City,place,516501
5182000,Virginia Beach,VA,Principal City,place,2116284
5183680,Waynesboro,VA,Principal City,place,163791
5186720,Winchester,VA,Principal City,place,249133
5301990,Anacortes,WA,Principal City,place,108427
5303180,Auburn,WA,Principal City,place,584178
5305210,Bellevue,WA,Principal City,place,879477
5305280,Bellingham,WA,Principal City,place,795516
5307695,Bremerton,WA,Principal City,place,381073
53011,Clark County,WA,Urban County,county,1591236
5322640,Everett,WA,Principal City,place,869124
5323515,Federal Way,WA,Metro City,place,788336
5335275,Kennewick,WA,Principal City,place,629426
5335415,Kent,WA,Principal City,place,1059334
53033,King County,WA,Urban County,county,5616834
53035,Kitsap County,WA,Urban County,county,1093594
5336745,Lacey,WA,Principal City,place,348393
5338038,Lakewood,WA,Principal City,place,482320
5340245,Longview,WA,Principal City,place,270235
5343955,Marysville,WA,Metro City,place,406499
5347560,Mount Vernon,WA,Principal City,place,377614
5351300,Olympia,WA,Principal City,place,341583
5353545,Pasco,WA,Metro City,place,650672
53053,Pierce County,WA,Urban County,county,3207750
5358235,Richland,WA,Principal City,place,291463
5363000,Seattle,WA,Principal City,place,8917476
53061,Snohomish County,WA,Urban County,county,3309657
5367000,Spokane,WA,Principal City,place,3017244
53063,Spokane County,WA,Urban County,county,1803488
5370000,Tacoma,WA,Principal City,place,2370358
53067,Thurston County,WA,Urban County,county,919511
5374060,Vancouver,WA,Principal City,place,1407808
5375775,Walla Walla,WA,Principal City,place,408743
5377105,Wenatchee,WA,Principal City,place,234918
5380010,Yakima,WA,Principal City,place,1023311
5405332,Beckley,WV,Principal City,place,289846
5414600,Charleston,WV,Principal City,place,1501940
5439460,Huntington,WV,Principal City,place,1596831
5452060,Martinsburg,WV,Principal City,place,310180
5455756,Morgantown,WV,Principal City,place,470309
5462140,Parkersburg,WV,Principal City,place,858894
5483500,Vienna,WV,Principal City,place,94632
5485156,Weirton,WV,Principal City,place,392897
5486452,Wheeling,WV,Principal City,place,1131704
5502375,Appleton,WI,Principal City,place,575860
5506500,Beloit,WI,Principal City,place,524164
55025,Dane County,WI,Urban County,county,1088902
5522300,Eau Claire,WI,Principal City,place,556399
5526275,Fond Du Lac,WI,Principal City,place,572864
5531000,Green Bay,WI,Principal City,place,938354
5537825,Janesville,WI,Principal City,place,445415
5539225,Kenosha,WI,Metro City,place,1021655
5540775,La Crosse,WI,Principal City,place,882603
5548000,Madison,WI,Principal City,place,2045072
5553000,Milwaukee,WI,Principal City,place,15266737
55079,Milwaukee County,WI,Urban County,county,1799375
5555750,Neenah,WI,Principal City,place,193278
5560500,Oshkosh,WI,Principal City,place,822816
5566000,Racine,WI,Principal City,place,1743518
5572975,Sheboygan,WI,Principal City,place,910675
5578650,Superior,WI,Metro City,place,666237
55133,Waukesha County,WI,Urban County,county,1442980
5584475,Wausau,WI,Principal City,place,578864
5584675,Wauwatosa,WI,Metro City,place,988733
5585300,West Allis,WI,Principal City,place,1180732
5613900,Cheyenne,WY,Principal City,place,416112
72005,Aguadilla Municipio,PR,Principal City,county,905373
72013,Arecibo Municipio,PR,Metro City,county,1309919
72021,Bayamon Municipio,PR,Metro City,county,2244635
72023,Cabo Rojo Municipio,PR,Metro City,county,717729
72025,Caguas Municipio,PR,Principal City,county,1686988
72029,Canovanas Municipio,PR,Metro City,county,631437
72031,Carolina Municipio,PR,Metro City,county,1881384
