geoid,name,state,type,geoid_type,cdbg_fy25
0647766,Milpitas,CA,Principal City,place,555374
0648256,Mission Viejo,CA,Metro City,place,389068
0648354,Modesto,CA,Principal City,place,1898921
0648816,Montebello,CA,Metro City,place,628319
0648872,Monterey,CA,Metro City,place,248442
06053,Monterey County,CA,Urban County,county,1361629
0648914,Monterey Park,CA,Principal City,place,563008
0649270,Moreno Valley,CA,Metro City,place,1954015
0649670,Mountain View,CA,Principal City,place,617916
0650258,Napa City,CA,Principal City,place,591772
0650398,National,CA,Metro City,place,700241
0651182,Newport Beach,CA,Principal City,place,402015
0652526,Norwalk,CA,Metro City,place,940871
0653000,Oakland,CA,Principal City,place,7412561
0653322,Oceanside,CA,Metro City,place,1236259
0653896,Ontario,CA,Principal City,place,1839944
0653980,Orange,CA,Principal City,place,1010888
06059,Orange County,CA,Urban County,county,3467220
0654652,Oxnard,CA,Principal City,place,2074781
0655254,Palm Springs,CA,Metro City,place,350999
0655156,Palmdale,CA,Metro City,place,1407911
0655282,Palo Alto,CA,Principal City,place,516233
0655520,Paradise,CA,Metro City,place,47069
0655618,Paramount,CA,Metro City,place,701752
0656000,Pasadena,CA,Principal City,place,2147455
0656700,Perris,CA,Metro City,place,940237
0656784,Petaluma,CA,Metro City,place,306305
0656924,Pico Rivera,CA,Metro City,place,611687
0657456,Pittsburg,CA,Metro City,place,652097
0657792,Pleasanton,CA,Principal City,place,381455
0658072,Pomona,CA,Metro City,place,1690554
0658240,Porterville,CA,Principal City,place,653932
0659444,Rancho Cordova,CA,Principal City,place,677844
0659451,Rancho Cucamonga,CA,Metro City,place,1045705
0659587,Rancho Santa Margarita,CA,Metro City,place,213967
0659920,Redding,CA,Principal City,place,677110
0660018,Redondo Beach,CA,Metro City,place,295609
0660102,Redwood,CA,Principal City,place,654563
0660466,Rialto,CA,Metro City,place,1131371
0662000,Riverside,CA,Principal City,place,2849347
06065,Riverside County,CA,Urban County,county,7689351
0662364,Rocklin,CA,Metro City,place,296156
0662896,Rosemead,CA,Metro City,place,533439
0662938,Roseville,CA,Principal City,place,701373
0664000,Sacramento,CA,Principal City,place,4638977
06067,Sacramento County,CA,Urban County,county,6030715
0664224,Salinas,CA,Principal City,place,2179417
0665000,San Bernardino,CA,Principal City,place,2712293
06071,San Bernardino Co.,CA,Urban County,county,6686990
0665042,San Buenaventura,CA,Principal City,place,704658
0665084,San Clemente,CA,Metro City,place,310995
0666000,San Diego,CA,Principal City,place,11028872
06073,San Diego County,CA,Urban County,county,4232730
0667000,San Francisco,CA,Principal City,place,18798493
06077,San Joaquin County,CA,Urban County,county,2941788
0668000,San Jose,CA,Principal City,place,7836902
0668084,San Leandro,CA,Principal City,place,765834
06079,San Luis Obispo County,CA,Urban County,county,1893580
0668196,San Marcos,CA,Metro City,place,703648
0668252,San Mateo,CA,Metro City,place,766315
06081,San Mateo County,CA,Urban County,county,2315528
0669000,Santa Ana,CA,Principal City,place,4190178
0669070,Santa Barbara,CA,Principal City,place,847812
06083,Santa Barbara Co.,CA,Urban County,county,1177513
0669084,Santa Clara,CA,Principal City,place,1019135
06085,Santa Clara County,CA,Urban County,county,1380034
0669088,Santa Clarita,CA,Metro City,place,1453594
0669112,Santa Cruz,CA,Principal City,place,527892
0669196,Santa Maria,CA,Principal City,place,1404326
0670000,Santa Monica,CA,Principal City,place,1114932
0670098,Santa Rosa,CA,Principal City,place,1286368
0670224,Santee,CA,Metro City,place,375277
0670742,Seaside,CA,Metro City,place,304867
0672016,Simi Valley,CA,Metro City,place,657452
06097,Sonoma County,CA,Urban County,county,1652484
0673080,South Gate,CA,Metro City,place,1192638
0673262,South San Francisco,CA,Principal City,place,456319
06099,Stanislaus County,CA,Urban County,county,2302867
0675000,Stockton,CA,Principal City,place,3229216
0677000,Sunnyvale,CA,Principal City,place,1038891
0678120,Temecula,CA,Principal City,place,606465
0678582,Thousand Oaks,CA,Principal City,place,648249
0680000,Torrance,CA,Principal City,place,947578
0680644,Tulare,CA,Metro City,place,714971
0680812,Turlock,CA,Metro City,place,636784
0680854,Tustin,CA,Principal City,place,725229
0681204,Union,CA,Metro City,place,474879
0681344,Upland,CA,Metro City,place,612647
0681554,Vacaville,CA,Metro City,place,527680
0681666,Vallejo,CA,Principal City,place,991521
06111,Ventura County,CA,Urban County,county,1454583
0682590,Victorville,CA,Principal City,place,1409225
0682954,Visalia,CA,Principal City,place,1139838
0682996,Vista,CA,Metro City,place,976361
0683346,Walnut Creek,CA,Principal City,place,401430
0683668,Watsonville,CA,Principal City,place,634804
0684200,West Covina,CA,Metro City,place,819862
0684816,West Sacramento,CA,Metro City,place,546333
0684550,Westminster,CA,Metro City,place,970291
0685292,Whittier,CA,Metro City,place,641146
0686328,Woodland,CA,Metro City,place,473643
0686972,Yuba,CA,Principal City,place,585041
08001,Adams County,CO,Urban County,county,1233556
08005,Arapahoe County,CO,Urban County,county,1283130
0803455,Arvada,CO,Metro City,place,451371
0804000,Aurora,CO,Principal City,place,2702077
0807850,Boulder City,CO,Principal City,place,869873
0809280,Broomfield /County,CO,Principal City,place,284341
0812415,Castle Rock,CO,Metro City,place,277742
0816000,Colorado Springs,CO,Principal City,place,2854333
0816495,Commerce,CO,Metro City,place,469128
0820000,Denver,CO,Principal City,place,6585718
08041,El Paso County,CO,Urban County,county,1087577
0827425,Fort Collins,CO,Principal City,place,1152451
0831660,Grand Junction,CO,Principal City,place,407684
0832155,Greeley,CO,Principal City,place,846546
08059,Jefferson County,CO,Urban County,county,1009071
0843000,Lakewood,CO,Principal City,place,911186
0845970,Longmont,CO,Metro City,place,488849
0846465,Loveland,CO,Metro City,place,377934
0862000,Pueblo,CO,Principal City,place,1432469
0877290,Thornton,CO,Metro City,place,811771
08123,Weld County,CO,Urban County,county,1251662
0883835,Westminster,CO,Metro City,place,563889
0908000,Bridgeport,CT,Principal City,place,3100412
0908420,Bristol,CT,Metro City,place,539149
0918430,Danbury,CT,Principal City,place,590036
0922700,East Hartford,CT,Principal City,place,515368
0912026620,Fairfield,CT,Metro City,cousub,441600
0933690,Greenwich,CT,Metro City,place,723939
0917035650,Hamden Town,CT,Metro City,cousub,458833
0937000,Hartford,CT,Principal City,place,3476365
0944690,Manchester,CT,Metro City,place,566960
0946450,Meriden,CT,Metro City,place,927552
0947290,Middletown,CT,Principal City,place,502177
0947515,Milford Town,CT,Principal City,place,518282
0950370,New Britain,CT,Metro City,place,1554807
0952000,New Haven,CT,Principal City,place,3446062
0952280,New London,CT,Principal City,place,791387
0955990,Norwalk,CT,Principal City,place,831261
0956200,Norwich,CT,Principal City,place,838095
0968100,Shelton,CT,Principal City,place,181656
0973000,Stamford,CT,Principal City,place,989095
0912074190,Stratford,CT,Principal City,cousub,586729
0980000,Waterbury,CT,Metro City,place,2176880
0982660,West Hartford,CT,Metro City,place,995108
0982800,West Haven,CT,Metro City,place,615097
1021200,Dover,DE,Principal City,place,321933
10003,New Castle County,DE,Urban County,county,2509120
1077580,Wilmington,DE,Principal City,place,2261378
1207300,Boca Raton,FL,Principal City,place,516588
1207875,Boynton Beach,FL,Metro City,place,518962
1207950,Bradenton,FL,Principal City,place,447763
12009,Brevard County,FL,Urban County,county,1350422
12011,Broward County,FL,Urban County,county,3978959
1210275,Cape Coral,FL,Principal City,place,1110919
12019,Clay County,FL,Urban County,county,1060250
1212875,Clearwater,FL,Principal City,place,925886
1213150,Cocoa,FL,Metro City,place,105087
12021,Collier County,FL,Urban County,county,2677254
1214400,Coral Springs,FL,Metro City,place,794085
1215475,Crestview,FL,Metro City,place,164652
1216475,Davie,FL,Metro City,place,714145
1216525,Daytona Beach,FL,Principal City,place,619516
1216725,Deerfield Beach,FL,Principal City,place,721028
1217100,Delray Beach,FL,Principal City,place,457791
1217200,Deltona,FL,Principal City,place,528176
12033,Escambia County,FL,Urban County,county,1806149
1224300,Fort Pierce,FL,Metro City,place,574680
1224475,Fort Walton Beach,FL,Principal City,place,132070
1224000,Ft Lauderdale,FL,Principal City,place,1518117
1224125,Ft Myers,FL,Principal City,place,738136
1225175,Gainesville,FL,Principal City,place,1442129
12053,Hernando County,FL,Urban County,county,1137403
1230000,Hialeah,FL,Metro City,place,2427498
12057,Hillsborough County,FL,Urban County,county,7456094
1232000,Hollywood,FL,Metro City,place,1249460
1232275,Homestead,FL,Metro City,place,878963
12031,Jacksonville,FL,Urban County,county,6940619
1235875,Jupiter,FL,Principal City,place,312843
1236950,Kissimmee,FL,Principal City,place,1000854
12069,Lake County,FL,Urban County,county,1848798
1238250,Lakeland,FL,Principal City,place,825858
1239425,Largo,FL,Principal City,place,587919
1239550,Lauderhill,FL,Metro City,place,780917
12071,Lee County,FL,Urban County,county,3044711
12081,Manatee County,FL,Urban County,county,1833537
12083,Marion County,FL,Urban County,county,2173037
1243975,Melbourne,FL,Principal City,place,603059
1245000,Miami,FL,Principal City,place,5026283
1245025,Miami Beach,FL,Principal City,place,858270
1245060,Miami Gardens,FL,Metro City,place,970105
12086,Miami-Dade County,FL,Urban County,county,13151137
1245975,Miramar,FL,Metro City,place,824752
1249450,North Miami,FL,Metro City,place,765353
1250750,Ocala,FL,Principal City,place,510378
12095,Orange County,FL,Urban County,county,7439307
1253000,Orlando,FL,Principal City,place,2522385
12097,Osceola County,FL,Urban County,county,1634093
1254000,Palm Bay,FL,Principal City,place,814260
12099,Palm Beach County,FL,Urban County,county,6609628
1254075,Palm Beach Gardens,FL,Metro City,place,260237
1254200,Palm Coast,FL,Metro City,place,462211
