geoid,safmr_median,n_zips
3318820,1820.0,13
3365140,1810.0,21
2304860,1760.0,8
2360545,2040.0,38
2302060,1250.0,15
2338740,1250.0,20
2302795,1390.0,10
5010675,2040.0,15
3481950,2470.0,19
3436000,2070.0,104
3403580,2070.0,19
3451000,1810.0,129
3419390,1920.0,30
3456550,1640.0,24
3413690,2030.0,40
3457000,1770.0,78
3432250,3450.0,16
3421000,1880.0,49
3474630,2070.0,20
3458200,2050.0,17
3424930,1730.0,2
3401960,2000.0,7
3441310,1970.0,11
3454690,2050.0,14
3426820,1910.0,4
3410000,1560.0,33
3402080,1510.0,17
3454360,1810.0,6
3407600,1590.0,7
3446680,1560.0,8
3476070,1555.0,26
3473110,1910.0,28
3438580,1700.0,15
3460900,2690.0,11
3474000,1840.0,51
3465790,2050.0,19
3451210,2050.0,14
3651000,2490.0,3158
3649121,2410.0,33
3684000,2510.0,90
3681677,3090.0,33
3650617,2570.0,32
3639853,2120.0,8
3647042,2000.0,13
3603408,2850.0,4
3637869,2600.0,8
3609000,2360.0,7
3636233,2740.0,12
3665255,1970.0,12
3601000,1500.0,62
3675484,1440.0,19
3617332,1630.0,3
3665508,1360.0,39
3639727,1780.0,10
3650034,1750.0,9
3659641,1650.0,14
3603078,1080.0,7
3673000,1275.0,104
3663418,1180.0,19
3676540,1180.0,32
3678608,1230.0,7
3606607,1190.0,22
3615000,1130.0,43
3621105,990.0,4
3631643,1290.0,5
3674166,1210.0,5
3611000,1110.0,173
3651055,1050.0,30
3663000,1370.0,150
3637737,1370.0,20
3630279,1470.0,5
3638264,930.0,10
3638077,1780.0,18
3624229,1160.0,17
4261000,1495.0,232
4246256,1050.0,12
4238288,910.0,14
4269720,910.0,9
4224000,1050.0,69
4202184,1045.0,20
4249552,940.0,5
4273808,1560.0,16
4211272,1220.0,5
4242168,1220.0,9
4232800,1230.0,27
4212536,1280.0,6
4287048,1290.0,27
4241216,1420.0,39
4285312,1150.0,11
4207128,1110.0,4
4206088,1580.0,30
4202000,1465.0,44
4233408,1290.0,13
4285152,1110.0,36
4269000,1130.0,40
4205888,960.0,2
4208760,1420.0,3
4213208,1370.0,15
4260000,1610.0,648
4254656,1830.0,13
4263624,1280.0,48
1077580,1610.0,35
1021200,1520.0,30
2408775,2900.0,31
2431175,2360.0,45
2401600,2470.0,21
2404000,1750.0,315
2421325,970.0,10
2430325,1820.0,33
2436075,1200.0,30
2469925,1490.0,37
5101000,2530.0,70
5129744,1740.0,14
5186720,1650.0,7
5135624,1570.0,20
5114968,1720.0,24
5183680,1230.0,6
5167000,1680.0,118
5116000,2030.0,81
5182000,1960.0,162
5176432,1580.0,51
5164000,1550.0,43
5157000,1590.0,108
5156000,1590.0,68
5135000,1540.0,62
5161832,1380.0,16
5118448,1560.0,5
5138424,1430.0,7
5168000,1090.0,67
5116608,1170.0,25
5107784,1320.0,14
5165392,1140.0,5
5109816,1100.0,10
5175216,1300.0,10
5147672,1230.0,42
5121344,920.0,18
5414600,1060.0,83
5452060,1190.0,18
5439460,990.0,85
5405332,960.0,23
5486452,1020.0,35
5485156,880.0,8
5462140,930.0,39
5483500,980.0,13
5455756,1110.0,44
3775000,1200.0,148
3709060,1180.0,54
3728000,1200.0,196
3731400,1180.0,71
3719000,1860.0,144
3710740,2040.0,94
3711800,1980.0,44
3755000,1790.0,243
3726880,1110.0,46
3757500,1140.0,37
3728080,1110.0,73
3725580,1400.0,81
3735200,1460.0,36
3758860,1310.0,30
3714100,1655.0,52
3744220,1600.0,32
3712000,2020.0,419
3722920,1220.0,113
3774440,1580.0,63
3734200,1150.0,37
3746340,1290.0,24
3731060,1120.0,41
3737760,1030.0,20
3744400,1520.0,19
3702140,1600.0,72
4570405,1220.0,51
4516000,1340.0,125
4525810,1170.0,33
4568290,1230.0,45
