Jurisdiction,State,lat,lon,Outcome,CDBG ($),Adjustment ($),Net homes added
Panama,FL,30.166271,-85.670191,Exempt — recent disaster,360009,0,461.0
Panama  Beach,FL,30.233151,-85.877116,Exempt — recent disaster,105177,0,126.0
Pasco County,FL,28.309823,-82.511006,Exempt — recent disaster,3160581,0,6586.0
Pembroke Pines,FL,26.014716,-80.340171,Exempt — recent disaster,1125411,0,435.0
Pensacola,FL,30.440989,-87.191242,Exempt — recent disaster,753536,0,461.0
Pinellas County,FL,27.905342,-82.798066,Exempt — recent disaster,2339516,0,690.0
Pinellas Park,FL,27.858883,-82.708213,Exempt — recent disaster,361300,0,435.0
Plantation,FL,26.125573,-80.261818,Exempt — recent disaster,630799,0,588.0
Polk County,FL,27.953686,-81.693493,Exempt — recent disaster,4234555,0,10087.0
Pompano Beach,FL,26.241622,-80.133851,Exempt — recent disaster,1024414,0,1024.0
Port Orange,FL,29.113444,-81.013223,Exempt — recent disaster,354806,0,222.0
Port St Lucie,FL,27.280554,-80.388261,Exempt — recent disaster,1086454,0,4513.0
Sanford,FL,28.789425,-81.275624,Exempt — recent disaster,437753,0,1019.0
Sarasota City,FL,27.338257,-82.543721,Exempt — recent disaster,371559,0,201.0
Sarasota County,FL,27.225329,-82.423714,Exempt — recent disaster,1767490,0,5974.0
Sebastian,FL,27.779212,-80.482654,Exempt — recent disaster,116320,0,85.0
Seminole County,FL,28.690065,-81.131975,Exempt — recent disaster,2292412,0,1379.0
St Petersburg,FL,27.762727,-82.644131,Exempt — recent disaster,1744727,0,469.0
St. Cloud,FL,28.235225,-81.283958,Exempt — recent disaster,345240,0,1399.0
St. Johns County,FL,29.890487,-81.40004,Exempt — recent disaster,1138383,0,6065.0
Sunrise,FL,26.171601,-80.261633,Exempt — recent disaster,675995,0,-1033.0
Tallahassee,FL,30.453529,-84.252272,Exempt — recent disaster,1880342,0,2129.0
Tamarac,FL,26.203298,-80.256032,Exempt — recent disaster,496342,0,-2.0
Tampa,FL,27.970086,-82.479673,Exempt — recent disaster,3057626,0,5349.0
Titusville,FL,28.573368,-80.819404,Exempt — recent disaster,280901,0,-210.0
Volusia County,FL,29.057769,-81.161792,Exempt — recent disaster,1718768,0,2271.0
Wellington,FL,26.648995,-80.267208,Exempt — recent disaster,289551,0,212.0
West Palm Beach,FL,26.745114,-80.127038,Exempt — recent disaster,970113,0,1678.0
Albany,GA,31.578117,-84.176224,Exempt — recent disaster,734345,0,-118.0
Athens-Clarke County,GA,33.952185,-83.367152,Exempt — recent disaster,1221913,0,1005.0
Atlanta,GA,33.762909,-84.422675,Exempt — recent disaster,6602130,0,6777.0
Augusta-Richmond County,GA,33.361486,-82.074998,Exempt — recent disaster,1686245,0,493.0
Brookhaven,GA,33.863131,-84.337476,Exempt — recent disaster,349486,0,-250.0
Brunswick,GA,31.136149,-81.466936,Exempt — recent disaster,384717,0,34.0
Cherokee County,GA,34.244317,-84.475057,Exempt — recent disaster,1127016,0,2485.0
Clayton County,GA,33.552242,-84.412973,Exempt — recent disaster,2461457,0,646.0
Cobb County,GA,33.939926,-84.57411,Exempt — recent disaster,3420467,0,2548.0
Columbus-Muscogee County,GA,32.510191,-84.874946,Exempt — recent disaster,1690979,0,743.0
Dalton,GA,34.767898,-84.972812,Exempt — recent disaster,312286,0,471.0
De Kalb County,GA,33.770661,-84.226343,Exempt — recent disaster,4639475,0,2021.0
Fulton County,GA,33.790034,-84.468182,Exempt — recent disaster,1254161,0,-79.0
Gainesville,GA,34.2901,-83.829106,Exempt — recent disaster,406937,0,434.0
Gwinnett County,GA,33.958756,-84.025735,Exempt — recent disaster,5816102,0,4768.0
Henry County,GA,33.452947,-84.154021,Exempt — recent disaster,1175509,0,2143.0
Hinesville,GA,31.826702,-81.615773,Exempt — recent disaster,254726,0,318.0
Johns Creek,GA,34.032739,-84.203848,Exempt — recent disaster,307314,0,92.0
Macon-Bibb County,GA,32.80899,-83.69406,Exempt — recent disaster,1834622,0,93.0
Marietta,GA,33.953561,-84.542463,Exempt — recent disaster,417640,0,-85.0
Rome,GA,34.266133,-85.186052,Exempt — recent disaster,418859,0,195.0
Roswell,GA,34.039453,-84.350946,Exempt — recent disaster,400668,0,-113.0
Sandy Springs,GA,33.931501,-84.368886,Exempt — recent disaster,485216,0,-562.0
Savannah,GA,32.018043,-81.196492,Exempt — recent disaster,2212947,0,21.0
South Fulton,GA,33.63572,-84.583417,Exempt — recent disaster,534631,0,1153.0
Valdosta,GA,30.850126,-83.278833,Exempt — recent disaster,600391,0,627.0
Warner Robins,GA,32.597096,-83.653936,Exempt — recent disaster,495380,0,723.0
Hawaii Co,HI,19.597764,-155.502443,Exempt — recent disaster,2743195,0,949.0
Honolulu,HI,21.461365,-158.201974,Gains funding,7882630,231229,1975.0
Kauai,HI,22.012038,-159.705965,Exempt — recent disaster,738234,0,79.0
Maui Co,HI,20.855931,-156.60155,Exempt — recent disaster,1889272,0,-24.0
Boise,ID,43.599335,-116.229817,Gains funding,1367844,169295,1446.0
Caldwell,ID,43.64588,-116.659336,Gains funding,464994,111810,955.0
Coeur D'Alene,ID,47.702887,-116.795799,Loses funding,290998,-29100,574.0
Idaho Falls,ID,43.489616,-112.03534,Loses funding,412342,-41234,642.0
Lewiston,ID,46.39313,-116.993472,Gains funding,251391,12879,110.0
Meridian,ID,43.61149,-116.400662,Gains funding,523218,330629,2824.0
Nampa,ID,43.584972,-116.562935,Loses funding,653242,-65324,2169.0
Pocatello,ID,42.872748,-112.463836,Exempt — other screens,380283,0,296.0
Twin Falls,ID,42.563807,-114.460597,Exempt — other screens,332639,0,570.0
Arlington Heights,IL,42.097362,-87.981671,Exempt — recent disaster,332747,0,-29.0
Aurora,IL,41.763455,-88.290099,Exempt — recent disaster,1192246,0,271.0
Berwyn,IL,41.843333,-87.790926,Exempt — recent disaster,1410085,0,40.0
Bloomington,IL,40.475777,-88.969912,Exempt — other screens,543236,0,149.0
Champaign,IL,40.114099,-88.274619,Exempt — other screens,766743,0,-185.0
Chicago,IL,41.837045,-87.684939,Exempt — recent disaster,74498058,0,8855.0
Cicero,IL,41.844537,-87.75929,Exempt — recent disaster,1751533,0,-535.0
Cook County,IL,41.894294,-87.645455,Exempt — recent disaster,10516157,0,-1981.0
Danville,IL,40.142628,-87.610707,Exempt — recent disaster,946586,0,223.0
Decatur,IL,39.855983,-88.933746,Exempt — recent disaster,1313759,0,-103.0
Dekalb,IL,41.928186,-88.747585,Exempt — other screens,400667,0,392.0
Des Plaines,IL,42.034398,-87.901136,Exempt — recent disaster,316052,0,-117.0
Dupage County,IL,41.852058,-88.086039,Gains funding,3703858,67676,578.0
Elgin,IL,42.038963,-88.325671,Exempt — recent disaster,763920,0,412.0
Evanston,IL,42.046391,-87.694352,Exempt — recent disaster,1699600,0,181.0
Hoffman Estates,IL,42.064336,-88.14463,Exempt — recent disaster,229562,0,-191.0
Joliet,IL,41.516866,-88.147963,Exempt — recent disaster,926791,0,178.0
Kane County,IL,41.939594,-88.42804,Loses funding,1260181,-126018,485.0
Kankakee,IL,41.101654,-87.86369,Exempt — other screens,589549,0,-260.0
Lake County,IL,42.185968,-87.805939,Loses funding,2890601,-289060,98.0
Madison County,IL,38.82712,-89.900227,Exempt — other screens,2773468,0,226.0
Mchenry County,IL,42.324298,-88.452245,Exempt — other screens,1308967,0,743.0
Moline,IL,41.482333,-90.493407,Exempt — other screens,817172,0,-81.0
Mount Prospect,IL,42.064202,-87.937364,Exempt — recent disaster,292098,0,-542.0
Naperville,IL,41.749173,-88.162019,Exempt — recent disaster,566641,0,560.0
Normal,IL,40.52014,-88.992234,Exempt — other screens,451114,0,336.0
Oak Park,IL,41.887164,-87.78994,Exempt — recent disaster,1574409,0,199.0
Palatine Village,IL,42.116467,-88.044361,Exempt — recent disaster,462638,0,299.0
Pekin,IL,40.568757,-89.625115,Exempt — other screens,438443,0,-197.0
Peoria,IL,40.751641,-89.617198,Exempt — other screens,1828722,0,-516.0
Rantoul,IL,40.30256,-88.15488,Exempt — other screens,314842,0,260.0
Rock Island,IL,41.469444,-90.585307,Exempt — other screens,1037034,0,-729.0
Rockford,IL,42.2593,-89.063478,Exempt — recent disaster,2254724,0,-604.0
Schaumburg Village,IL,42.0289,-88.083773,Exempt — recent disaster,403348,0,-286.0
Skokie,IL,42.03597,-87.739994,Exempt — recent disaster,532514,0,145.0
Springfield,IL,39.791063,-89.644572,Exempt — recent disaster,1288399,0,204.0
St. Clair County,IL,38.470198,-89.928546,Exempt — recent disaster,3438146,0,296.0
Urbana,IL,40.110126,-88.197323,Exempt — other screens,392195,0,225.0
Waukegan,IL,42.369447,-87.870898,Exempt — other screens,735595,0,387.0
Will County,IL,41.448474,-87.978456,Exempt — recent disaster,2089349,0,1462.0
Anderson,IN,40.089766,-85.689449,Exempt — other screens,916076,0,18.0
Bloomington,IN,39.1637,-86.524264,Exempt — recent disaster,778293,0,870.0
Columbus,IN,39.208684,-85.919059,Exempt — other screens,302484,0,226.0
East Chicago,IN,41.64813,-87.452885,Exempt — recent disaster,1219342,0,-64.0
Elkhart,IN,41.691543,-85.962248,Exempt — other screens,712246,0,-40.0
Evansville,IN,37.987737,-87.534705,Exempt — other screens,2485311,0,395.0
Fort Wayne,IN,41.088193,-85.142791,Exempt — recent disaster,1880267,0,965.0
Gary,IN,41.59074,-87.347113,Exempt — recent disaster,3210180,0,-147.0
Goshen,IN,41.573884,-85.829986,Exempt — other screens,274772,0,-25.0
Greenwood,IN,39.603372,-86.105227,Exempt — recent disaster,292739,0,470.0
Hamilton County,IN,40.053513,-86.021709,Loses funding,1146153,-114615,4371.0
Hammond,IN,41.618736,-87.494949,Exempt — recent disaster,2043773,0,329.0
Indianapolis,IN,39.782976,-86.135794,Exempt — other screens,8860390,0,2006.0
Jeffersonville,IN,38.332415,-85.696087,Exempt — other screens,270412,0,874.0
Kokomo,IN,40.464011,-86.127349,Exempt — recent disaster,725033,0,-58.0
La Porte,IN,41.606072,-86.713679,Exempt — other screens,438197,0,201.0
Lafayette,IN,40.39941,-86.862806,Exempt — other screens,640832,0,168.0
Lake County,IN,41.472247,-87.374337,Exempt — recent disaster,1629279,0,988.0
Michigan,IN,41.708776,-86.866875,Exempt — other screens,658791,0,251.0
Mishawaka,IN,41.676606,-86.165356,Exempt — other screens,468014,0,309.0
Muncie,IN,40.198826,-85.395059,Exempt — other screens,1242123,0,93.0
New Albany,IN,38.312179,-85.823987,Exempt — other screens,691524,0,-166.0
South Bend,IN,41.676643,-86.268809,Exempt — other screens,2366486,0,217.0
Terre Haute,IN,39.464152,-87.376036,Exempt — other screens,1423909,0,-241.0
West Lafayette,IN,40.443707,-86.923616,Exempt — other screens,436964,0,515.0
Ames,IA,42.026327,-93.621264,Exempt — recent disaster,552927,0,335.0
Cedar Falls,IA,42.51907,-92.454009,Exempt — other screens,278127,0,192.0
Cedar Rapids,IA,41.96419,-91.67917,Exempt — other screens,1106823,0,754.0
Council Bluffs,IA,41.235987,-95.853163,Exempt — recent disaster,983484,0,40.0
Davenport,IA,41.55682,-90.603948,Exempt — recent disaster,1574080,0,-321.0
Des Moines,IA,41.57259,-93.610243,Exempt — recent disaster,3760013,0,147.0
Dubuque,IA,42.498901,-90.707258,Exempt — recent disaster,1037080,0,203.0
Iowa,IA,41.655661,-91.530859,Exempt — other screens,741332,0,8.0
Polk County,IA,41.684816,-93.568971,Exempt — recent disaster,846324,0,3047.0
Sioux,IA,42.49538,-96.389495,Exempt — recent disaster,1580662,0,100.0
Waterloo,IA,42.492327,-92.351947,Exempt — other screens,1196041,0,-27.0
West Des Moines,IA,41.549937,-93.781351,Exempt — recent disaster,328144,0,401.0
Johnson County,KS,38.883907,-94.82233,Exempt — recent disaster,1393280,0,1712.0
Kansas,KS,39.122539,-94.741781,Exempt — recent disaster,2132228,0,51.0
Lawrence,KS,38.959551,-95.265468,Exempt — other screens,752390,0,64.0
Leavenworth,KS,39.322717,-94.925013,Exempt — other screens,369060,0,31.0
Manhattan,KS,39.188307,-96.605864,Exempt — recent disaster,546884,0,69.0
Overland Park,KS,38.889042,-94.690584,Exempt — recent disaster,690372,0,1781.0
Shawnee,KS,39.017488,-94.805801,Exempt — recent disaster,278072,0,842.0
Topeka,KS,39.034673,-95.696191,Exempt — recent disaster,1791961,0,-103.0
Wichita,KS,37.690638,-97.345836,Exempt — other screens,2968869,0,872.0
Ashland,KY,38.459492,-82.645081,Exempt — recent disaster,505838,0,-136.0
Bowling Green,KY,36.976832,-86.433661,Exempt — recent disaster,848543,0,755.0
Covington,KY,39.035109,-84.519648,Exempt — recent disaster,1409780,0,102.0
Elizabethtown,KY,37.704002,-85.878881,Exempt — recent disaster,208167,0,-448.0
Henderson,KY,37.838416,-87.580971,Exempt — recent disaster,231376,0,69.0
Hopkinsville,KY,36.839284,-87.473544,Exempt — recent disaster,242872,0,-11.0
Lexington-Fayette,KY,38.040678,-84.458272,Exempt — recent disaster,2249391,0,1239.0
Louisville-Jefferson MCG,KY,38.189532,-85.657624,Exempt — recent disaster,11301161,0,1787.0
Owensboro,KY,37.757172,-87.117398,Exempt — recent disaster,542893,0,60.0
Paducah,KY,37.070892,-88.644477,Exempt — recent disaster,583406,0,-77.0
Alexandria,LA,31.293449,-92.470189,Exempt — recent disaster,489682,0,295.0
Baton Rouge,LA,30.440443,-91.133166,Exempt — recent disaster,3313007,0,291.0
Bossier,LA,32.523674,-93.655426,Exempt — recent disaster,558769,0,380.0
Hammond,LA,30.50565,-90.456493,Exempt — recent disaster,230833,0,1152.0
Houma-Terrebonne,LA,29.33413,-90.843674,Exempt — recent disaster,823641,0,156.0
Jefferson Parish,LA,29.5033,-90.036231,Exempt — recent disaster,2698293,0,385.0
Kenner,LA,30.010227,-90.25482,Exempt — recent disaster,504335,0,-76.0
Lafayette,LA,30.2056,-92.028058,Exempt — recent disaster,1540451,0,458.0
Lake Charles,LA,30.19902,-93.210835,Exempt — recent disaster,734086,0,596.0
Monroe,LA,32.518986,-92.07718,Exempt — recent disaster,733589,0,257.0
New Orleans,LA,30.05342,-89.934502,Exempt — recent disaster,12568463,0,794.0
Shreveport,LA,32.466879,-93.792193,Exempt — recent disaster,1946439,0,-288.0
Slidell,LA,30.288913,-89.782926,Exempt — recent disaster,207836,0,66.0
St. Tammany Parish,LA,30.410022,-89.951962,Exempt — recent disaster,1335762,0,1497.0
Thibodaux,LA,29.794874,-90.814578,Exempt — recent disaster,141270,0,294.0
Auburn,ME,44.084537,-70.249649,Exempt — recent disaster,485861,0,23.0
Bangor,ME,44.829625,-68.788767,Exempt — recent disaster,833082,0,483.0
Biddeford,ME,43.438733,-70.392943,Exempt — recent disaster,424428,0,223.0
Cumberland County,ME,43.808348,-70.330375,Exempt — recent disaster,1509068,0,1767.0
Lewiston,ME,44.089513,-70.172095,Exempt — recent disaster,788103,0,253.0
Portland,ME,43.633157,-70.185305,Exempt — recent disaster,1807636,0,602.0
Annapolis,MD,38.972152,-76.505332,Gains funding,278182,48236,412.0
Anne Arundel County,MD,38.991617,-76.560894,Loses funding,2218569,-221857,1011.0
Baltimore,MD,39.300032,-76.610476,Exempt — other screens,20262880,0,1401.0
Baltimore County,MD,39.443167,-76.616569,Gains funding,4687766,61466,525.0
Bowie,MD,38.954703,-76.738834,Loses funding,197940,-19794,397.0
Cumberland,MD,39.65131,-78.757959,Exempt — other screens,786221,0,255.0
Frederick,MD,39.434089,-77.414539,Gains funding,444911,145177,1240.0
Frederick County,MD,39.470177,-77.397636,Gains funding,722727,286139,2444.0
Gaithersburg,MD,39.148601,-77.195131,Loses funding,526482,-52648,-106.0
Hagerstown,MD,39.640182,-77.722691,Exempt — other screens,791400,0,-317.0
Harford County,MD,39.537429,-76.299789,Loses funding,1101617,-110162,1028.0
Howard County,MD,39.252264,-76.924406,Loses funding,1336389,-133639,797.0
Montgomery County,MD,39.137381,-77.203063,Gains funding,5194196,165900,1417.0
Prince Georges County,MD,38.829278,-76.848188,Gains funding,5806716,250664,2141.0
Salisbury,MD,38.375328,-75.585925,Exempt — other screens,338056,0,57.0
Arlington,MA,42.418722,-71.163912,Exempt — recent disaster,1057391,0,147.0
Attleboro,MA,41.931653,-71.294503,Exempt — recent disaster,394424,0,66.0
Barnstable,MA,41.661478,-70.356951,Exempt — recent disaster,291036,0,168.0
Boston,MA,42.338551,-71.018253,Exempt — recent disaster,16948744,0,2785.0
Brockton,MA,42.082543,-71.024638,Exempt — recent disaster,1343941,0,310.0
Brookline,MA,42.323853,-71.142003,Exempt — recent disaster,1368250,0,178.0
Cambridge,MA,42.376043,-71.11868,Exempt — recent disaster,2638641,0,228.0
Chicopee,MA,42.177586,-72.570189,Exempt — recent disaster,1130139,0,216.0
Everett,MA,42.405938,-71.054649,Exempt — recent disaster,1048571,0,286.0
Fall River,MA,41.725351,-71.094162,Exempt — recent disaster,2477723,0,217.0
Fitchburg,MA,42.601977,-71.81587,Exempt — recent disaster,921520,0,-201.0
Framingham,MA,42.307905,-71.436196,Exempt — recent disaster,473889,0,-498.0
Gloucester,MA,42.62885,-70.685875,Exempt — recent disaster,684282,0,237.0
Haverhill,MA,42.782945,-71.087436,Exempt — recent disaster,917780,0,296.0
Holyoke,MA,42.211658,-72.642448,Exempt — recent disaster,1180479,0,0.0
Lawrence,MA,42.700273,-71.161357,Exempt — recent disaster,1638713,0,-84.0
Leominster,MA,42.520876,-71.770611,Exempt — recent disaster,468404,0,298.0
Lowell,MA,42.638995,-71.32102,Exempt — recent disaster,2079283,0,740.0
Lynn,MA,42.474766,-70.962035,Exempt — recent disaster,2021026,0,111.0
Malden,MA,42.42938,-71.058706,Exempt — recent disaster,1411157,0,-167.0
Medford,MA,42.423844,-71.109231,Exempt — recent disaster,1466160,0,-292.0
New Bedford,MA,41.661303,-70.937913,Exempt — recent disaster,2574063,0,-122.0
Newton,MA,42.331768,-71.2084,Exempt — recent disaster,1855699,0,428.0
Northampton,MA,42.327044,-72.67463,Exempt — recent disaster,631073,0,975.0
Peabody,MA,42.53431,-70.969443,Exempt — recent disaster,440876,0,-173.0
Pittsfield,MA,42.45184,-73.260685,Exempt — recent disaster,1221406,0,-535.0
Plymouth Town,MA,41.958343,-70.6638,Exempt — recent disaster,408450,0,115.0
Quincy,MA,42.261006,-71.008988,Exempt — recent disaster,1841720,0,-155.0
Revere,MA,42.421005,-70.99036,Exempt — recent disaster,690800,0,694.0
Salem,MA,42.499248,-70.898204,Exempt — recent disaster,1042346,0,492.0
Somerville,MA,42.390445,-71.101033,Exempt — recent disaster,2477825,0,173.0
Springfield,MA,42.115454,-72.539978,Exempt — recent disaster,3671092,0,-496.0
Taunton,MA,41.903324,-71.094987,Exempt — recent disaster,853983,0,90.0
Waltham,MA,42.388921,-71.242268,Exempt — recent disaster,850450,0,-170.0
Westfield,MA,42.138838,-72.755911,Exempt — recent disaster,398805,0,130.0
Weymouth Town,MA,42.2073,-70.943687,Exempt — recent disaster,681380,0,573.0
Worcester,MA,42.269478,-71.807783,Exempt — recent disaster,4088940,0,505.0
Yarmouth,MA,41.674949,-70.226014,Exempt — recent disaster,136091,0,-8.0
Battle Creek,MI,42.299176,-85.229267,Exempt — other screens,1205390,0,-117.0
Bay,MI,43.590062,-83.888421,Exempt — other screens,1254300,0,-95.0
Benton Harbor,MI,42.113495,-86.44725,Exempt — other screens,382893,0,-85.0
Canton Twp,MI,42.307541,-83.485775,Exempt — recent disaster,379148,0,736.0
Clinton Twp,MI,42.068279,-83.965732,Exempt — other screens,585695,0,-101.0
Dearborn,MI,42.313057,-83.211488,Exempt — recent disaster,1865278,0,189.0
Dearborn Heights,MI,42.335671,-83.288832,Exempt — recent disaster,998836,0,401.0
Detroit,MI,42.383037,-83.102237,Exempt — recent disaster,32283682,0,3328.0
East Lansing,MI,42.748913,-84.482442,Exempt — recent disaster,401429,0,-55.0
Farmington Hills,MI,42.485648,-83.375961,Exempt — recent disaster,358837,0,492.0
Flint,MI,43.02442,-83.691971,Exempt — other screens,3588954,0,485.0
Genesee County,MI,43.021077,-83.706372,Exempt — other screens,1820353,0,174.0
Grand Rapids,MI,42.961156,-85.65557,Exempt — recent disaster,3754702,0,-251.0
Holland,MI,42.767049,-86.098572,Exempt — other screens,333432,0,216.0
Jackson,MI,42.243441,-84.404858,Exempt — other screens,1205801,0,28.0
Kalamazoo,MI,42.275163,-85.588501,Exempt — other screens,1583632,0,-200.0
Kent County,MI,43.032497,-85.547446,Exempt — recent disaster,1673365,0,1790.0
Lansing,MI,42.714341,-84.560889,Exempt — recent disaster,1982088,0,315.0
Lincoln Park,MI,42.243291,-83.181258,Exempt — recent disaster,778236,0,-440.0
Livonia,MI,42.397183,-83.372319,Exempt — recent disaster,343617,0,689.0
Macomb County,MI,42.671553,-82.911456,Exempt — recent disaster,1913886,0,1364.0
Midland,MI,43.624796,-84.231984,Exempt — other screens,203789,0,319.0
Monroe,MI,41.916586,-83.384324,Exempt — recent disaster,448407,0,-13.0
Muskegon,MI,43.22654,-86.257247,Exempt — other screens,919565,0,222.0
Muskegon Hts,MI,43.201921,-86.240963,Exempt — other screens,424739,0,-63.0
Niles,MI,41.834539,-86.247851,Exempt — other screens,270102,0,-40.0
Norton Shores,MI,43.169538,-86.235405,Exempt — other screens,111638,0,-42.0
Oakland County,MI,42.660452,-83.38421,Exempt — recent disaster,3735142,0,2699.0
Pontiac,MI,42.649228,-83.287363,Exempt — recent disaster,1436727,0,49.0
Port Huron,MI,42.993766,-82.433743,Exempt — other screens,702976,0,258.0
Portage,MI,42.19705,-85.591395,Exempt — other screens,209148,0,180.0
Redford,MI,42.394788,-83.294018,Exempt — recent disaster,848170,0,-315.0
Roseville,MI,42.507586,-82.936582,Exempt — recent disaster,560982,0,56.0
Royal Oak,MI,42.507816,-83.15389,Exempt — recent disaster,1154181,0,-97.0
Saginaw,MI,43.419945,-83.950172,Exempt — other screens,1986926,0,69.0
Southfield,MI,42.47464,-83.259509,Exempt — recent disaster,409397,0,291.0
St Clair Shores,MI,42.493043,-82.890901,Exempt — recent disaster,859034,0,-254.0
Sterling Heights,MI,42.581206,-83.030316,Exempt — recent disaster,802997,0,352.0
Taylor,MI,42.225283,-83.267691,Exempt — recent disaster,463413,0,-204.0
Traverse,MI,44.754309,-85.603011,Exempt — other screens,367861,0,-104.0
Warren,MI,42.492904,-83.025001,Exempt — recent disaster,974298,0,277.0
Washtenaw County,MI,42.252217,-83.843423,Gains funding,2248182,193413,1652.0
Waterford Township,MI,42.661978,-83.387921,Exempt — recent disaster,362163,0,119.0
Wayne County,MI,42.284664,-83.261953,Exempt — recent disaster,5492534,0,378.0
Westland,MI,42.319173,-83.380778,Exempt — recent disaster,1033365,0,202.0
Wyoming,MI,42.890317,-85.706733,Exempt — recent disaster,477892,0,526.0
Anoka County,MN,45.27411,-93.242723,Gains funding,1666016,189315,1617.0
Bloomington,MN,44.829666,-93.315217,Gains funding,465137,0,-114.0
Dakota County,MN,44.670893,-93.062481,Gains funding,1893442,284734,2432.0
Duluth,MN,46.774458,-92.134135,Exempt — recent disaster,2341913,0,173.0
Eden Prairie,MN,44.849595,-93.458721,Loses funding,279604,-27960,194.0
Hennepin County,MN,45.006121,-93.475228,Gains funding,2993886,829616,7086.0
Mankato,MN,44.171122,-93.97638,Exempt — recent disaster,435932,0,343.0
Minneapolis,MN,44.963324,-93.26832,Exempt — other screens,10988006,0,5863.0
Moorhead,MN,46.864704,-96.744552,Exempt — recent disaster,356693,0,332.0
Plymouth,MN,45.022312,-93.462883,Loses funding,255820,-25582,-166.0
Ramsey County,MN,45.015204,-93.099965,Exempt — other screens,1215422,0,2264.0
Rochester,MN,44.014299,-92.478592,Exempt — other screens,676343,0,897.0
St Cloud,MN,45.526658,-94.171007,Exempt — recent disaster,687307,0,187.0
St Louis County,MN,47.578635,-92.514585,Exempt — recent disaster,1909180,0,339.0
St Paul,MN,44.948901,-93.104063,Exempt — other screens,6756518,0,1675.0
Washington County,MN,45.037929,-92.890117,Gains funding,697198,266001,2272.0
Woodbury,MN,44.906283,-92.923703,Gains funding,266417,98697,843.0
Biloxi,MS,30.426663,-88.935762,Exempt — other screens,409375,0,-128.0
Gulfport,MS,30.419487,-89.069022,Exempt — other screens,776285,0,662.0
Hattiesburg,MS,31.307305,-89.317434,Exempt — other screens,569656,0,359.0
Jackson,MS,32.315834,-90.21285,Exempt — recent disaster,1787635,0,-232.0
Moss Point,MS,30.425914,-88.532733,Exempt — recent disaster,97999,0,153.0
Pascagoula,MS,30.360067,-88.556327,Exempt — recent disaster,261473,0,91.0
Blue Springs,MO,39.012001,-94.267612,Exempt — other screens,265704,0,463.0
Cape Girardeau,MO,37.309389,-89.558359,Exempt — recent disaster,326728,0,155.0
Columbia,MO,38.94729,-92.326387,Exempt — other screens,1065222,0,613.0
Florissant,MO,38.799725,-90.327076,Exempt — recent disaster,264212,0,-157.0
Independence,MO,39.085469,-94.352082,Exempt — other screens,911277,0,660.0
Jefferson,MO,38.567461,-92.175254,Exempt — other screens,264411,0,303.0
Jefferson County,MO,38.25763,-90.543681,Exempt — other screens,1062194,0,661.0
Joplin City,MO,37.075218,-94.501259,Exempt — other screens,515502,0,432.0
Kansas,MO,39.125155,-94.550313,Exempt — other screens,7608758,0,1654.0
Lees Summit,MO,38.921601,-94.384763,Loses funding,385005,-38500,882.0
O'Fallon,MO,38.784674,-90.720738,Exempt — recent disaster,338193,0,653.0
Springfield,MO,37.194157,-93.292642,Exempt — recent disaster,1489039,0,781.0
St Joseph,MO,39.75946,-94.821143,Exempt — other screens,1461592,0,112.0
St Louis,MO,38.635699,-90.244582,Exempt — recent disaster,17660570,0,191.0
St Louis County,MO,38.640688,-90.446073,Exempt — recent disaster,5806360,0,877.0
St. Charles County,MO,38.781102,-90.674915,Exempt — recent disaster,1065633,0,2622.0
Billings,MT,45.788538,-108.552475,Exempt — recent disaster,674856,0,809.0
Bozeman,MT,45.683155,-111.053782,Gains funding,347790,124337,1062.0
Great Falls,MT,47.502518,-111.29997,Exempt — other screens,761417,0,85.0
Missoula,MT,46.874359,-114.026136,Exempt — recent disaster,520234,0,1007.0
Bellevue,NE,41.144932,-95.93856,Exempt — recent disaster,315457,0,286.0
Grand Island,NE,40.921352,-98.358559,Exempt — other screens,348081,0,137.0
Lincoln,NE,40.810284,-96.674856,Exempt — recent disaster,1878880,0,2046.0
Omaha,NE,41.262705,-96.053475,Exempt — recent disaster,4254206,0,1383.0
Carson,NV,39.15306,-119.747368,Gains funding,402733,29738,254.0
Clark County,NV,36.21413,-115.014398,Exempt — other screens,8550959,0,13035.0
Henderson,NV,36.008958,-115.0268,Loses funding,1687463,-168746,4396.0
Las Vegas,NV,36.233499,-115.264037,Loses funding,5341723,-534172,3696.0
North Las Vegas,NV,36.289865,-115.089181,Gains funding,1959935,344912,2946.0
Reno,NV,39.549097,-119.849907,Gains funding,2002682,382260,3265.0
Sparks,NV,39.574341,-119.715154,Exempt — other screens,739006,0,1425.0
Dover,NH,43.18636,-70.883623,Loses funding,328545,-32854,-6.0
Manchester,NH,42.984941,-71.444131,Gains funding,1570991,0,-283.0
Nashua,NH,42.749074,-71.490544,Loses funding,652953,-65295,298.0
Portsmouth,NH,43.060594,-70.780349,Exempt — recent disaster,522653,0,276.0
Rochester,NH,43.298493,-70.977005,Gains funding,257705,9952,85.0
Asbury Park,NJ,40.222884,-74.010232,Loses funding,392066,-39207,-170.0
Atlantic,NJ,39.377337,-74.45107,Exempt — other screens,1305980,0,-148.0
Atlantic County,NJ,39.469355,-74.633759,Gains funding,1184270,22011,188.0
Bayonne,NJ,40.662495,-74.110201,Gains funding,1364019,73174,625.0
Bergen County,NJ,40.959698,-74.074727,Gains funding,8974151,126210,1078.0
Bloomfield,NJ,40.809141,-74.187142,Loses funding,974904,-97490,76.0
